codigo_distrito,cod_ibge,distrito,regioes,codigo_subprefeitura,subprefeituras,localizacao_busca,location,geometry
80011,11,Brasilândia,Norte,3.0,Freguesia/Brasilândia,"Brasilândia, São Paulo, SP, Brasil","Brasilândia, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 02845-050, Brasil",POINT (-46.6913891 -23.4649661)
80012,12,Butantã,Oeste,10.0,Butantã,"Butantã, São Paulo, SP, Brasil","Butantã, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.7278225 -23.5693582)
80013,13,Cachoeirinha,Norte,4.0,Casa Verde/Cachoeirinha,"Cachoeirinha, São Paulo, SP, Brasil","Cachoeirinha, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6610721 -23.4630177)
80014,14,Cambuci,Centro,9.0,Sé,"Cambuci, São Paulo, SP, Brasil","Cambuci, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6136795 -23.5659114)
80015,15,Campo Belo,Sul,14.0,Santo Amaro,"Campo Belo, São Paulo, SP, Brasil","Campo Belo, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.670417 -23.6299339)
80016,16,Campo Grande,Sul,14.0,Santo Amaro,"Campo Grande, São Paulo, SP, Brasil","Campo Grande, Vila Arriete, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.684628 -23.6722214)
80017,17,Campo Limpo,Sul,17.0,Campo Limpo,"Campo Limpo, São Paulo, SP, Brasil","Campo Limpo, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.7627968 -23.6361999)
80018,18,Cangaiba,Leste,21.0,Penha,"Cangaiba, São Paulo, SP, Brasil","Cangaíba, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.5314253 -23.5058996)
80019,19,Capão Redondo,Sul,17.0,Campo Limpo,"Capão Redondo, São Paulo, SP, Brasil","Capão Redondo, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.7794354 -23.6719026)
80020,20,Carrão,Leste,26.0,Aricanduva/Formosa/Carrão,"Carrão, São Paulo, SP, Brasil","Carrão, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.5377908 -23.5515305)
80021,21,Casa Verde,Norte,4.0,Casa Verde/Cachoeirinha,"Casa Verde, São Paulo, SP, Brasil","Casa Verde, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6561379 -23.5059269)
80022,22,Cidade Ademar,Sul,16.0,Cidade Ademar,"Cidade Ademar, São Paulo, SP, Brasil","Cidade Ademar, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6552806 -23.6730116)
80023,23,Cidade Dutra,Sul,19.0,Capela do Socorro,"Cidade Dutra, São Paulo, SP, Brasil","Cidade Dutra, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6990882 -23.7139643)
